RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-28, 10:39:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:21, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:32, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
